review,tag_arr
I didn't like their drive thru service.,"['1', 0, 0, 0, 0, 0, 0, 0]"
Alma is the so called manager at this McD's by far the worst customer service I've ever experienced she was upset because they got my order wrong and I brought it to her attention. There after I can see and hear her complaining to the other employees in front of customers not sure what's up her butt seems to me mad at the world.....very unprofessional!!!!,"['1.0', '0.6786', 0, 0, 0, 0, 0, 0]"
"So my first experience with this McDonald's was the day that I moved in. I had a couple friends helping me. This McDonald's is directly across the street from my apartment.So, after witnessing a guy smash his van (we later were told by the po-po that it was stolen) into the light pole right at the corner, then watching him exit the vehicle and run maniacly down North Ave., away from the scene, we decided we were hungry. We thought ""why not go to McD's"". Seems logical. I mean, McD's is always the same no matter where you go, right? And it was certainly conveniently located. At least it appears conveniently located. Oh, its not. Attempting to cross North Ave. at my intersection is really a situation where you are taking your life into your hands. This is a 4, 5, 6, oh hell, I don't even know how many corners there are here, intersection. And one of the lights is only green for one side of the street, but has no sign indicating that anywhere, so people either don't stop or just stand there. You feel like you are playing Frogger. Except not with a pixellated frog, but rather with your own skin and organs.If you make it into the building with your spinal cord still attached to your body, you will see they always have at least 15 people working here. Yet, there are never more than 2 registers open at once. And the only people working those registers are either a. ancient, non-english speaking women b. mentally handicapped. Hey, I appreciate their sense of social responsibility to hire the old and degenerate. I do not appreciate the game of charades I must play with the cashiers to get my order right.While you are waiting the 15 plus minutes it takes to get your food here, you may notice that this McDonalds is a bit different from the rest. Ricky Martin pictures, signed Selena CDs and gigantic Enrique Iglesias are the decor of choice here. Apparantly, this is the Latin Rock n' Roll McDonalds. Couple that with the fact that its the only McDonald's I have ever seen that has Jalepeno's as a condiment and the fact that they look at me as if I am lost every time I walk in there, I think its safe to say the clientele here is pretty set.Overall, the location, service and neighborhood sucks. I would give it only 1 star, but hey, its open 24-7 and its McDonalds.","[0, 0, 0, 0, 0, '1', 0, 0]"
"the operations and food seem fine, but this location has a chronic problem with leaving things out of my order. sometimes a salad would be missing, another time a cheeseburger was missing. Many times sauces I ask for are missing. I never made a big deal because a few bucks wasn't worth driving back there and bothering the employees about it. 2 stars since this place doesn't actually cook the food (cook and defrost.. two different things) and it's more about service. You had ONE job, just get the order right... the food is already cooked and arrives frozen. You just microwave it, wrap it and toss it in a paper bag... but no, that was too challenging.the soft serve ice-cream is great, but i've seen locations that stack the ice cream wayyy higher...","[0, '1', 0, 0, 0, 0, 0, 0]"
"WORST MCDONALDS EVER!!I don't understand why the promotional signs are always in Spanish and not in English. ξThey should be in both languages or just English, unless the owner is racist and doesn't want English speaking people at the events.","['1', 0, 0, 0, 0, 0, 0, 0]"
"Ridiculously rude staff, some of which are truly scary people. ξThey have gotten my order wrong 5 of the 6 times I have been there. ξThey also automatically charge you for a large combo and don't ask what size you want. ξLast time I went I asked to speak to the supervisor and waited for 10 minutes, they never came out. ξI guess I never learn.","['1.0', '0.6678', 0, 0, 0, 0, 0, 0]"
"Worst McDonalds I've been in in a long time! Dirt everywhere, food barely warmand slow service. Needs a manager!","[0, 0, '1.0', '1.0', '1.0', 0, 0, 0]"
"Every time I come here, my booking for a party is messed up or my meal is incorrect or incomplete. I come because its close but there are closer. The Play place I no longer allow my kids in since the last few time they became ill. The bathroom in the play place has this extra tall toilet, why? Kids are the ones going to use it the most. Well, at least I can't say it was unexpected.","[0, '0.6757', '0.6654', 0, 0, 0, 0, 0]"
"OK. so. ξWhen we first moved here..... We had a bunch of friends visit and come stay at our brand new house back in 2008? ξI don't remember... a while back. ξBut this joint was still fairly new. ξWe came here on the way to the airport to drop off our weekend guests at the McCarran for a quick bite to eat. ξ[Keep in mind that this is during the summertime]So we go in.. and there are flies. ξFLIES. ξall over the place. ξI'm weirded out and the employees are acting like nothings wrong. ξI'm not sure what to do at this point and I've suddenly lost my appetite. ξSo I approach the counter and I ask... what's going on? ξAnd the young man at the counter was at a loss and kinda giving me the ""get out of here"" look. ξSo, I made a judgement call and decided that we needed to get out of there. ξI'm not talking about 1 or 2 flies that the auto door can bring in. ξIt was like walking through a wall. O_O ξNext.... I should say that I have been back. ξBUT. . . ξyears later and not after I put in a call to let the proper people know that there was a HUGE problem.... it's not always the cleanest either. I haven't encountered that problem since.... but, still not the first one I'd go to though it IS RIGHT there.","[0, 0, '0.6817', 0, 0, 0, 0, 0]"
"never go there ever again=== order the food around 1:45pm. asked for refund at 2:03pm. for some reason there are so little custumers. guess that ξless than 5 custumers i had to wait more than 15 min for the food.i order a meal with a drink $8.05i was complainting and i ask the cashier saying "" you know what i do not want the meal please refund.there is a hispanic female manager (no name tag) who show up and she is kinda piss / stare at me and she ask me to wait. i refuse and she told cashier give him $6 back.my first reaction was"" what!!!!!!!you try to scam me""geez ξwhat have i done to deserve all of these, if you are busy i totally understand but ;less than 5 customers. r u kidding me.what is funny. after the she hand over money to me and the food was ready, she keep ask me do i want it. ξhell no i do not want it. you can eat it yourself.====never again worst mcdonald's ever====should change that manager. not all people qualify as manager. esp not ξ""amateur""if i were her, first apologize . then offer refund or ask them to wait 1 more minute. try to slove problem not staring and pissing at the customer.remember customer will go to yelp and other rating website write a trash about you like i just did now","['0.6585', 0, 0, '1.0', 0, 0, 0, 0]"
"This is the McDonald's that my friends and I always go to since it's the closest to our apartment but at the same time, it's definitely the WORST one I've ever been to.One plus is that their drive-thru is open 24 hours but sadly, the later at night you go, the more often your choices are limited. For example, one day we were craving their vanilla cone but they said that their ice cream machine was off already so they couldn't make it! Okay. What's the point of staying open 24 hours if you can't even give the customers the food they want?!The other day, I had a pretty bad dine-in experience. The lady behind the counter charged extra for big mac sauce on the McDouble which I have NEVER experienced before. Usually going through drive-thru, they never charge extra for a McDouble w/o the ketchup, w/ big mac sauce and shredded lettuce (a.k.a a Big Mac, but cheaper!). My boyfriend and I were pretty shocked when she told us we had to pay extra for the sauce and she claimed that they always do this which they really NEVER DO!!Then, this same lady proceeded to close the cash register before giving me my change! She told me to wait on the side so she can give it to me after she opens it for the next customer. So I patiently waited... and then she closed the cash register AGAIN after the next customer and totally forgot to give me my change!!!! So I had to remind her again to which she just laughed and semi-apologized and then finally gave me my change after like a decade of waiting! ARGH! Worst McDonalds worker ever!! Completely rude and horrible customer service skills! I totally agree with my boyfriend who said this McDonalds is very poorly managed. He even wrote a complaint to them a while back but they never responded. ""We love to see you smile?"" I beg to differ.","['1.0', 0, 0, '0.731', 0, 0, '0.731', '1.0']"
"The good news -- they've just remodeled this place, and it it super modern/stylish, like going to Starbucks. Now for the bad news: ξhigh volume McDonalds have been trying different line workflows for the last six months, at least at this location and the one in Union Station, and with the recent automation implemented you can expect to wait 10 minutes for a cup of coffee. ξAs another review said, it's probably because it does seem like chaos to stand in a line 2-3 deep, place your order, and then step aside in front of the people who ordered before you, so the person fulfilling the order can shuttle to the counter & back delivering your bag of food. ξThis actually got you your food pretty quickly, even in peak times.So now the newest system is a single register to take orders, and an electronic system that shows order numbers that are ready on a TV screen. ξSounds great, right? ξNot at this location. ξFor some reason their fulfillment process is very very slow. ξIt took 10 minutes the other day for my order to come up, and with the old system, it would be 2-3 minutes consistently, I think it was faster because there were four individual teams working on fulfilling orders, not a centralized mainly single-threaded process with the new system.This morning I walked in, saw the line in front of the register was 2 deep, and 20 people were waiting for their orders (20!). ξThis isn't DeKalb where a busload of people just walked in. ξIt's McDonalds, and they clearly need to to fix something with this store / their new process, or just change back to the old chaotic system that got you your food in 2-3 minutes consistently.","[0, 0, 0, '1', 0, 0, 0, 0]"
"I must say that I had a smoothie here when they came out months ago and they are horrible and way too sweet. Sonic has better ones and McD's obviously doesn't use real fruit. Even at midnight, this is not the best sweet tooth option. Wait, there is a positive. Using my 2-1 coupon, I tried the new Strawberry Frozen Lemonade and yes like the commercials indicate it is tart and sweet. These would be a better option to cool you down at $1.59 for a small. The strawberry syrup at the bottom might be the same they use on sundaes, but who knows for sure. McDonald's comes out with new stuff every month, but in the beverage department, frozen lemonade is king.","[0, 0, 0, 0, '1', 0, 0, 0]"
"My visit here was my cycling lunch stop, so I was probably more happy than the average patron to see these golden arches. ξThis McDs is renovated in the dark-wood-meets-quasi-Starbucks-style and while all appeared trendy and chic (one could even watch the game on the suspended flat-screen TV), closer inspection revealed a floor that needed to be swept and a few tables that required a good wipedown. ξWe had to wait longer than I wanted (10 minutes!) for my food, but then again, I was only half done my 50 mile ride at that point and wanted food NOW. ξAlso, exacerbating the wait, I know that drive-thru customers get priority, due to corporate demanding fast order-to-receipt times. ξHowever, my fries were salty and hot, my burger was fresh and tasted the same as other McDs burgers I've consumed, and child chatter was minimal. ξ;)","[0, 0, '1.0', '1.0', '0.7', 0, 0, 0]"
"I don't often eat at McDonald's, or ever in fact. I don't have much expectation for healthy foods but the one thing I do expect is decent service and fast food. This branch for neither. Food was really slow to come out and I had to ask thrice for the coffee that i ordered. Shocking service delivery","[0, 0, 0, '1', 0, 0, 0, 0]"
"WELCOME. ξIt became patently obvious within one minute of entering this particular McDonald's that they have a different way of approaching the customer. ξMaybe it comes from the owner, but WELCOME. ξNot ""May I take your order?"" or ""Hello"" or ""Go ahead with your order when you are ready,"" just WELCOME then nothing else.So after being welcomed aloud many times before actually getting my turn to indulge in a childhood treat, I finally made it to the front of the line. ξReally, it was raining out, I didn't have an umbrella and this was the closest place to where I was working today so...Cashier: WELCOME.Me : (silence)Cashier: WELCOME.Me : (places order)Cashier : (no movement whatsoever)Me : (silence)Finally, she slaps a key and it is in. ξShe was actually friendly, but this dynamic was so awkward that I felt like I had been away from McDonald's too long and somehow lost a part of the lingo between fast food cashier and customer.Service was fast. ξThere are good McDonald's and bad McDonald's and this one was just in the middle. ξThe burger was warm, not hot, but tasted fine. ξThe coke was not sharp and bubbly and the fries were a little overdone. ξIt's McDonald's so there are no expectations, but this one just hit the middle.","[0, 0, 0, '0.6817', 0, 0, 0, 0]"
"1. It's a Mcdonalds.2. It's Harlem3. It's Harlem4. Did I mention it's Harlem?I personally do not like Harlem and this is because Harlem is too overcrowded, and there are some people there with very nasty attitudes. That you can't even look at them, without someone feeling some type of way. I avoid Harlem at any costs that I can. But I had to go to Mcdonalds, being said that this was the closest. First off the female there was out of it, I don't think she knew where she was, and they got all my order wrong. They put some really really nasty sauce spicy buffalo on my Mcchicken. Who puts that crap on a Mcchicken who in they're right mind would do some crazy thing like that? That was the most horrible Mcchicken I've ever tasted in my entire life. People beware.","[0, '1.0', 0, 0, '0.6655', '0.6655', 0, 0]"
"This is the only McDonald's I've ever been to (and I've been to many, in the US and elsewhere, over the years) where only one person is ever taking orders....which obviously causes a large group of people waiting, waiting, waiting for their food...and it doesn't matter what time you come in. ξEvery single time! No matter what time of day you go there. ξThey need to tighten up their game!!! Seriously.","[0, 0, 0, '0.6655', 0, 0, 0, 0]"
"On my way to the local brewery not too far from here we decided to grab a bite to eat beforehand. ξWe pulled into the drive through because getting out just seemed like an unnecessary risk. ξAs we waited and finally got up to the menu, the order taker informed us that they were only accepting cash at the moment. ξMy driver decided to exit the line but I insisted on getting him a meal. ξI risked life and limb to get that man dinner. ξI agree with the other reviewers that this place is less that satisfactory. ξThe cashier was not even the slightest bit delightful in my ordering experience. ξThe restaurant did not look very clean. ξThe employees were arguing about something very loudly that made me a bit uncomfortable. ξAnyway, I got the food and got out of there ASAP! ξI will not be back unless it is the last place on earth to get food.","['1.0', 0, '0.7179', '0.641', 0, 0, 0, 0]"
"I wanted to grab breakfast one morning before work since it's just across the street, but the restaurant was filled with homeless people! It's like their hangout spot... I waited a lot longer than I needed to just to order. If they didn't have bums loitering around, maybe would have added one more star. The staff is not the problem, they look like they actually have to deal with a lot if problematic people. They should focus on making the place a little pleasant for their guest. No one wants to eat their burger while having to endure the smell if urine lingering off a homeless person.","[0, 0, 0, '0.6667', 0, '1.0', 0, 0]"
"My friend and I came here to grab a quick bite before heading to the REI Garage Sale. ξLet's set the stage:EXT McDonald's Drive-Through WindowOrder placed: #3 on the breakfast menu, oatmeal, and a coffee with one cream two sugars. ξDriver goes to first window pays. ξInstead of returning the card quickly, the cashier proceeds to have a 3-minute girl-talk with another coworker.Car drives to second window. ξDriver and passenger watch a dude make instant oatmeal. ξIt appears to take several minutes. ξWorker disdainfully hands a bag and coffee to the driver. ξDriver asks passenger (me) to check the order as driving away. ξNo oatmeal inside nor a spoon.Driver parks, walks back in, retrieves said missing items, tiredly gets back in car. Driver happily looks on the coffee, which was not prepared according to order.^Perhaps not a tragedy, but definitely a comedy of errors that tells me not to patronize this McDonald's again.","['1.0', '0.6766', 0, '0.6766', 0, 0, 0, 0]"
"I hate coming here. I think they have new management or something because everyone who was there before isn't. They never get the order right. The drive thru has lines all the way out to the street. The place inside is disgusting. I'm surprised they've managed to keep that 'A' grade. The play place is so filthy, and it smells. I get it, it's where kids play, but shit clean it up. The girl who takes your order inside or at the drive thru has an attitude problem. The one that hands you the food has an attitude problem. Then they get mad when you ask for an extra condiment. As if it came out of their pay check. I can't wait for the other one to open up down the street. I rather make the drive. Get it together.","['1.0', '0.6667', '1.0', '0.6667', 0, 0, 0, 0]"
"The worst service ever. And I'm not a rude person, at all. I said ""please"" and ""thank you."" And I absolutely was not greeted whatsoever. Whoever that dumbass lady was, that was working needs to take that stick out of her. Don't be mad at me 'cause you hate YOUR job, bitch. Let's not forget that everyone is REPLACEABLE, including your miserable self. It took every bit of me not to cuss her out. I'd write a letter to corporate but she did not give me a receipt. Go figure right. I'm not one to talk down on people that works fast food because it's not in my character to knock someone's hustle. But she really needs to get it together. And for that, I will NOT ever return to this McDonald's ever again. Some bullshit. Oh. And. Not only did I not get a receipt... I didn't get a straw. And instead of 10 piece chicken nuggets, I got 9. What in the fucking fuck..... Fuck that McDonalds.","['1.0', '0.6671', 0, 0, 0, 0, 0, 0]"
"I don't know what it is about this particular corner and this particular McDonald's but both are run amok with seedy characters.I've seen prostitutes in there eating with their pimp. ξAcross from them, by the window, is this guy who is ALWAYS there on his laptop (free Wi-Fi, maybe?). ξHe looks like he hasn't showered in a good decade. ξOne crackhead did the Harlem Shake in front of me once.It's just a ghetto McDonald's. ξIt makes the one down by West 4 St. seem really nice.","[0, 0, 0, 0, 0, '0.6909', 0, 0]"
"pretty simple review, i work the early morning shift and they are open 24 hours. ξI've gone twice in the past week to get a coffee and one time they had to pull out the pot and start making it and the other time they told me they only were accepting cash!!!one thing you should have at that hour is coffee and I supsect something sketchy with the girl only accepting cash, won't be going here again","['1', 0, 0, 0, 0, 0, 0, 0]"
"The salad is good. The service is quick. After school there a bunch of teens by the door smoking. If you ignore them, they probably won't bite you. The fries are good too, but are drenched in salt","[0, 0, 0, 0, '0.6842', '0.6842', 0, 0]"
"Other businesses throughout Metro Atlanta opened their doors to stranded motorists during the Jan. 2014 snow storm. This McDonald's on Camp Creek Parkway told ξa group of senior citizens who were on the way home from an outing that they had to leave their restaurant. ξAll they cared about was the dollar. ξAfter they got that, they were done with them. ξToo bad they couldn't have made it down the street to Wendy's or Chic Fil A and other restaurants.","['1', 0, 0, 0, 0, 0, 0, 0]"
"How the hell do you screw up three orders of the same thing that consist of ONE item?? ξMy two friends and I all ordered large hazelnut iced coffees. ξSo why did we all get three regular hot coffees?The lady was rude and said that is what we asked for. ξThis is the second time I've come here and it's not even worth getting a cup of coffee to put up with that kid of hassle. ξThank goodness there is a Dunkin' Donuts that opened up to get real coffee at a good price. ξOh, and they are nice as hell there!","['0.6749', '1.0', 0, 0, 0, 0, 0, 0]"
Slowest drive-thru ever. ξYou're always bombarded by house less occupants that post at the drive- thru entrance and exit. Better option is to drive the extra 2 min west and go to the location on arlington.,"[0, 0, 0, '0.7097', 0, 0, 0, 0]"
