,tag,tag_conf,city,review,RudeService,OrderProblem,Filthy,SlowService,BadFood,ScaryMcDs,MissingFood,Cost,na,BinaryLabel,topic,Most_Likely_Topic,Most_Likely_Topic_Names
0,"['RudeService', 'OrderProblem', 'Filthy']","['1.0', '0.6667', '0.6667']",Atlanta,huge mcds lover good ones far bad one ever filthy inside get drive completely screw order every time staff terribly unfriendly nobody seem care,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11100000,5,5,get right work
1,['RudeService'],['1'],Atlanta,terrible customer service come stand front register one bother say anything help minutes one else wait food inside either outside window leave go chickfila next door greet way inside mcdonalds dirty floor cover drop food obviously fill surly unhappy workers,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000,3,7,one north avenue
2,"['SlowService', 'OrderProblem']","['1.0', '1.0']",Atlanta,first lost order actually give someone one else take minutes figure still wait order ask need replied order ask ticket asst mgr look ticket incompletely fill ask check see fill correctly act could bother ask begrudgingly check fact miss something ticket minutes finally breakfast biscuit platter leave woman approach identify manager dress awake old shirt sweat pants say hear happen say would take care well intervene saw grow annoy incompetence,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,01010000,14,13,window us say
3,['RudeService'],['1'],Atlanta,well mcdonald know food review reflect solely poor service location countless time years consistently fail service end things order takers tend rude smiles lot sighs lip smacking talk go back ask store benefit place eat area next stop least minutes away side town strongly believe chance know every business satisfy everyone time give many chance earn positive review could recommend location less wait take pass good mcdonald store griffin ga,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000,8,1,mcdonald people time
4,"['BadFood', 'SlowService']","['0.7111', '0.6444']",Atlanta,one bad slow mcdonald franchise ca figure egg mcmuffin always stale un toasted english muffin buy chocolate shake today throw away,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,00011000,4,1,mcdonald people time
5,"['SlowService', 'ScaryMcDs']","['0.6562', '0.6562']",Atlanta,crazy mcdonald primarily slow gosh exactly hold fast food people morning guess worker think mic know try get many hours possible need money bad spread word anyway location little access road go back way come exit end would help one end think avoid location find another easy shortage mickey piece,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,00010100,6,7,one north avenue
6,['RudeService'],['0.6801'],Atlanta,one star beng kind blame management last day free coffee decide stop order breakfast coffees thru drive thru charge us coffee ask say need confirm two us car clear order take retraining ask next time tthe speaker oh get better get next window einstein waiting pour coffees different creams sugars added one asked smile say one cream sugar cream sugar didnt maek cups least make sure straw coffees hello management,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000,9,10,coffee burn ice
7,"['SlowService', 'RudeService', 'MissingFood']","['1.0', '1.0', '0.6667']",Atlanta,never upset fast food drive thru service till come mcdonalds long trip california wife go mcdonalds quick bite eat drive back home pull drive thru lot cars wait order guess must lot demand mcdonalds late hour wait minutes turn order order specials time pcs chicken nuggets ask cup water want drink sodas late hour take order tell us serve cup water little annoy ok shrug wait turn pay receive order however wait almost another min finally pay first window another min finally receive food far bad mcdonalds world unfriendly slow,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10010010,9,3,wait minutes line
8,['SlowService'],['1'],Atlanta,let start reason come mcdonald waste time till girlfriend flight arrive duaghters eat fast food order two happy meals slow service order food guy ask cashier two use cell middle order strike one give little boy toy know twin girls stabding right front im glad never return live way sandy springs see difference service staff build self brand new change staff blackmac mcdonald im black tell truth,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,00010000,1,0,order time wrong
9,['RudeService'],['1'],Atlanta,businesses throughout metro atlanta open doors strand motorists jan snow storm mcdonald camp creek parkway tell group senior citizens way home leave restaurant care dollar get bad could make street wendy chic fil restaurants,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000,7,1,mcdonald people time
10,['RudeService'],['0.6667'],Atlanta,drive thru make lose star since last review one two lane drive thrus know function order mess get window almost everytime cashier end ask order inquire told someone drive mess order well guess control drive least know order confirmed right time get second window mcdonald late night drive thru thur sat use hour days think longer one big pet peeve drive thru staff smile voice order food luxury vehicle want think person charge take order good spirits location,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000,6,2,drive thru window
11,['SlowService'],['1'],Atlanta,believe use q really good mcdonalds drive throuh slow frustrate service always friendly food normally luke warm niece like toy mcdonalds wonder pull window say let get toy woulf service faster,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,00010000,2,12,mcdonalds time always
12,"['BadFood', 'RudeService', 'SlowService']","['1.0', '0.6928', '0.6655']",Atlanta,previous yelpers already stated place pretty slow food usually cold service yeah guess poor,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10011000,8,4,food fast time
13,"['SlowService', 'ScaryMcDs']","['0.7112', '0.6641']",Atlanta,minutes drive line gunshots apartments behind worst mcdonald ever,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,00010100,10,1,mcdonald people time
14,"['SlowService', 'MissingFood', 'BadFood']","['1.0', '1.0', '1.0']",Atlanta,super slow service food terrible like sit reheated everything napkins ice tea,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,00011010,1,4,food fast time
15,['SlowService'],['1'],Atlanta,slow slow slow go flight catch life live hungry wait get airport particular mcdonald worth time,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,00010000,13,1,mcdonald people time
16,['SlowService'],['0.7003'],Atlanta,way airport cruise camp creek pkwy absolutely love mcdonald sweet tea well ever go drive thru hands slow mcdonald drive thru experience atlanta considering location close airport would great could simply improve quality service lover sweet tea completely turn location overhear drive thru operator joke sweet years ago tell associate like syrup liquid diabetes time take first sip head perimeter mall taste like cold syrup thank goodness mcdonald near perimeter mall refill drink moral story camp creek pkwy near airport bypass mcdonald head chick fil eatmorechicken,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,00010000,0,1,mcdonald people time
17,['RudeService'],['1'],Atlanta,bad mcdonalds ever seen service terrible employees either lazy incompetent never return establishment,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000,15,11,service bad customer
18,['BadFood'],['0.6923'],Atlanta,mccafe mocha must say good drink sand salt water sweet could even taste coffee weird flavor go drink stick starbucks mocha folks trust one,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00001000,9,10,coffee burn ice
19,['ScaryMcDs'],['0.6458'],Atlanta,ghetto go yesterday get soda could even park handicap park spot delivery truck block spaces finally make inside customers one cashier shift manager make comment car wait need pull hold line wait order hell think hold customer others waiting anyway finally place order tell pay exact price sad cashier ring soda therefore get receipt know plan pocket money sad bad eventually cost get pass customers price increases return like feel like someone hood hate thief maybe call tell probably care maybe even steal plus eat fast food anyway need waste precious minutes,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,00000100,14,3,wait minutes line
20,"['RudeService', 'OrderProblem']","['1.0', '0.7179']",Atlanta,visit mcdonalds dec buy cheese burgers large fry order pies charge fry go back store tell cashier deny say order fries manager come say whats problem tell say look bag grab xtra fry lterally throw waste bucket drive tru cashier reach cash register give change fries say thank say ok boss left call mcdonalds people via nimber website ate tell go wait yelp hear mcdonalds still call email side note tom n otther yelper right rude seem bother help nice kids play room sticky video game ther always cause altercation kid parents reason give star fry hot sweet potatoe fry good warm,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11000000,11,12,mcdonalds time always
21,['BadFood'],['1'],Atlanta,usually hit drive thru twice week breakfast lot time forget include hash brown order meal order hot cake usually forget either butter utinsils prompt go inside food inconsistent,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00001000,5,0,order time wrong
22,['OrderProblem'],['0.6667'],Atlanta,joke take get anything ordered prefer pay items get home order accurate numerous time sadly thing happens fault learn anyone know owner believe would like comment woodstock macdonalds place ray crock invented save frustration waste money go learn,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01000000,8,5,get right work
23,['BadFood'],['1'],Atlanta,wish give zero stars freeze cold reheat soggy fry twice fry chewy nuggets straight trash,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00001000,11,8,take fry mcwrap
24,"['RudeService', 'BadFood']","['1.0', '0.6216']",Atlanta,agree reviewers one staff always rude annoy travel weekly atlanta hartsfield airport mcdonald never fresh hot coffee always wait brew coffee wth,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10001000,6,10,coffee burn ice
